aardwolves	aardwolf
epiglottides	epiglottis
epimysia	epimysium
epiphenomena	epiphenomenon
epiphyses	epiphysis
episterna	episternum
epithalamia	epithalamion
epithelia	epithelium
epitheliomata	epithelioma
epizoa	epizoan
epyllia	epyllion
equalled	equal
equalling	equal
equilibria	equilibrium
equipped	equip
equipping	equip
equiseta	equisetum
eringoes	eringo
errata	erratum
eryngoes	eryngo
esophagi	esophagus
espied	espy
esterified	esterify
estopped	estop
estopping	estop
etherified	etherify
etyma	etymon
eucalypti	eucalyptus
eupatridae	eupatrid
euripi	euripus
exanthemata	exanthema
excelled	excel
excelling	excel
executrices	executrix
exegeses	exegesis
exempla	exemplum
exemplified	exemplify
exordia	exordium
exostoses	exostosis
expelled	expel
expelling	expel
extolled	extol
extolling	extol
extrema	extremum
eyeteeth	eyetooth
fabliaux	fabliau
facetted	facet
facetting	facet
faciae	facia
faculae	facula
faeroese	faeroese
fagged	fag
fagging	fag
faker	faker
fallen	fall
fallfishes	fallfish
falsified	falsify
famuli	famulus
fancied	fancy
fancier	fancy
fanciest	fancy
fanned	fan
fanning	fan
fantasied	fantasy
farmers-general	farmer-general
faroese	faroese
farragoes	farrago
farther	far
fasciae	fascia
fasciculi	fasciculus
fathers-in-law	father-in-law
fatsoes	fatso
fatted	fat
fatter	fat
fattest	fat
fattier	fatty
fattiest	fatty
fatting	fat
faultier	faulty
faultiest	faulty
faunae	fauna
featherbedded	featherbed
featherbedding	featherbed
feculae	fecula
fed	feed
fedayeen	fedayee
feed	feed
feet	foot
feistier	feisty
feistiest	feisty
fell	fall
fellaheen	fellah
fellahin	fellah
feller	feller
felones de se	felo de se
felos de se	felo de se
felt	feel
femora	femur
fenestellae	fenestella
fenestrae	fenestra
feriae	feria
fermate	fermata
ferried	ferry
ferulae	ferula
festschriften	festschrift
fetiales	fetial
fezzes	fez
fiascoes	fiasco
fibbed	fib
fibbing	fib
fibrillae	fibrilla
fibromata	fibroma
fibulae	fibula
ficoes	fico
fiddlier	fiddly
fiddliest	fiddly
fideicommissa	fideicommissum
fieldmice	fieldmouse
figged	fig
figging	fig
figs.	fig.
fila	filum
filariiae	filaria
filefishes	filefish
filled up	fill up
filmier	filmy
filmiest	filmy
filthier	filthy
filthiest	filthy
fimbriae	fimbria
fine-drawn	fine-draw
fine-drew	fine-draw
finned	fin
finnier	finny
finniest	finny
finning	fin
first-rater	first-rater
first-stringer	first-stringer
fishes	fish
fishier	fishy
fishiest	fishy
fishwives	fishwife
fistulae	fistula
fitted	fit
fitter	fit
fittest	fit
fitting	fit
flabbier	flabby
flabbiest	flabby
flabella	flabellum
flagella	flagellum
flagged	flag
flaggier	flaggy
flaggiest	flaggy
flagging	flag
flagstaves	flagstaff
flakier	flaky
flakiest	flaky
flambeaux	flambeau
flamines	flamen
flamingoes	flamingo
flammed	flam
flamming	flam
flannelled	flannel
flannelling	flannel
flapped	flap
flapping	flap
flasher	flasher
flashier	flashy
flashiest	flashy
flatfeet	flatfoot
flatfishes	flatfish
flatted	flat
flatter	flat
flattest	flat
flatting	flat
flauntier	flaunty
flauntiest	flaunty
fled	flee
fledgier	fledgy
fledgiest	fledgy
fleecier	fleecy
fleeciest	fleecy
fleshier	fleshy
fleshiest	fleshy
fleshlier	fleshly
fleshliest	fleshly
fleurs-de-lis	fleur-de-lis
fleurs-de-lys	fleur-de-lys
flew	fly
flightier	flighty
flightiest	flighty
flights of stairs	flight of stairs
flimflammed	flimflam
flimflamming	flimflam
flimsier	flimsy
flimsiest	flimsy
flintier	flinty
flintiest	flinty
flip-flopped	flip-flop
flip-flopping	flip-flop
flipped	flip
flipping	flip
flitted	flit
flittermice	flittermouse
flitting	flit
floatier	floaty
floatiest	floaty
flocci	floccus
flocculi	flocculus
flogged	flog
flogging	flog
floodlit	floodlight
flopped	flop
floppier	floppy
floppiest	floppy
flopping	flop
florae	flora
floreant.	floreat
florilegia	florilegium
flossier	flossy
flossiest	flossy
flowers-de-luce	flower-de-luce
flown	fly
flubbed	flub
flubbing	flub
fluffier	fluffy
fluffiest	fluffy
flukier	fluky
flukiest	fluky
flung	fling
flurried	flurry
flyblew	flyblow
flyblown	flyblow
flyleaves	flyleaf
foamier	foamy
foamiest	foamy
fobbed	fob
fobbing	fob
foci	focus
fogged	fog
foggier	foggy
foggiest	foggy
fogging	fog
folder	folder
folia	folium
folksier	folksy
folksiest	folksy
foolhardier	foolhardy
foolhardiest	foolhardy
footslogged	footslog
footslogging	footslog
fora	forum
foramina	foramen
forbad	forbid
forbade	forbid
forbidden	forbid
forbidding	forbid
forbore	forbear
forborne	forbear
force-fed	force-feed
forceps	forceps
fordid	fordo
fordone	fordo
fore-and-after	fore-and-after
foredid	foredo
foredone	foredo
forefeet	forefoot
foregone	forego
foreigner	foreigner
foreknew	foreknow
foreknown	foreknow
foreran	forerun
forerunning	forerun
foresaw	foresee
foreseen	foresee
foreshown	foreshow
forespoke	forespeak
forespoken	forespeak
forest	forest
foreteeth	foretooth
foretold	foretell
forewent	forego
forgave	forgive
forgetting	forget
forgiven	forgive
forgone	forgo
forgot	forget
forgotten	forget
formatted	format
formatting	format
formicaria	formicarium
formulae	formula
fornices	fornix
forsaken	forsake
forsook	forsake
forspoke	forspeak
forspoken	forspeak
forswore	forswear
forsworn	forswear
fortes	fortis
fortified	fortify
forwent	forgo
fossae	fossa
fought	fight
found	find
founder	founder
foveae	fovea
foveolae	foveola
foxier	foxy
foxiest	foxy
foxtrotted	foxtrot
foxtrotting	foxtrot
fractocumuli	fractocumulus
fractostrati	fractostratus
fraena	fraenum
frapped	frap
frapping	frap
fratchier	fratchy
fratchiest	fratchy
frauen	frau
freakier	freaky
freakiest	freaky
freer	free
freest	free
freeze-dried	freeze-dry
frena	frenum
frenchier	frenchy
frenchiest	frenchy
frenchified	frenchify
frenula	frenulum
frenzied	frenzy
frescoes	fresco
fretted	fret
fretting	fret
fricandeaux	fricandeau
fricandoes	fricando
fried	fry
friendlier	friendly
friendliest	friendly
frigged	frig
frigging	frig
frijoles	frijol
friskier	frisky
friskiest	frisky
fritted	frit
fritting	frit
frivolled	frivol
frivolling	frivol
frizzier	frizzy
frizziest	frizzy
frizzlier	frizzly
frizzliest	frizzly
frogfishes	frogfish
frogged	frog
frogging	frog
frolicked	frolic
frolicking	frolic
frontes	frons
frostier	frosty
frostiest	frosty
frouzier	frouzy
frouziest	frouzy
frowsier	frowsy
frowsiest	frowsy
frowzier	frowzy
frowziest	frowzy
froze	freeze
frozen	freeze
fructified	fructify
fruitier	fruity
fruitiest	fruity
frusta	frustum
fuci	fucus
fuelled	fuel
fuelling	fuel
fulcra	fulcrum
fulfilled	fulfil
fulfilling	fulfil
fumatoria	fumatorium
fundi	fundus
fungi	fungus
funiculi	funiculus
funkier	funky
funkiest	funky
funned	fun
funnelled	funnel
funnelling	funnel
funnier	funny
funniest	funny
funning	fun
furcula	furculum
furculae	furcula
furfures	furfur
furred	fur
furrier	furry
furriest	furry
furring	fur
further	far
fussier	fussy
fussiest	fussy
fustier	fusty
fustiest	fusty
fuzzier	fuzzy
fuzziest	fuzzy
gabbier	gabby
gabbiest	gabby
gadded	gad
gadding	gad
gagged	gag
gagging	gag
gainsaid	gainsay
galeae	galea
gambadoes	gambado
gambolled	gambol
gambolling	gambol
gametangia	gametangium
gametoecia	gametoecium
gamier	gamy
gamiest	gamy
gammadia	gammadion
gammed	gam
gammier	gammy
gammiest	gammy
gamming	gam
gan	gin
ganglia	ganglion
ganned	gan
ganning	gan
gapped	gap
gapping	gap
garfishes	garfish
gas	gas
gasified	gasify
gassed	gas
gasses	gas
gassier	gassy
gassiest	gassy
gassing	gas
gastrulae	gastrula
gateaux	gateau
gaudier	gaudy
gaudiest	gaudy
gauzier	gauzy
gauziest	gauzy
gave	give
gawkier	gawky
gawkiest	gawky
gazeboes	gazebo
geckoes	gecko
geese	goose
gelled	gel
gelling	gel
gelsemia	gelsemium
gelt	geld
gemboks	gemsbok
gembucks	gemsbuck
gemeinschaften	gemeinschaft
gemmae	gemma
gemmed	gem
gemming	gem
genera	genus
generatrices	generatrix
geneses	genesis
genii	genius
genned-up	gen-up
genning-up	gen-up
gens-up	gen-up
gentes	gens
gentlemen-at-arms	gentleman-at-arms
gentlemen-farmers	gentleman-farmer
genua	genu
genus	genus
germina	germen
gesellschaften	gesellschaft
gestalten	gestalt
gets lost	get lost
gets started	get started
getting	get
getting lost	get lost
getting started	get started
ghastlier	ghastly
ghastliest	ghastly
ghettoes	ghetto
ghostlier	ghostly
ghostliest	ghostly
ghostwritten	ghostwrite
ghostwrote	ghostwrite
gibbed	gib
gibbing	gib
giddied	giddy
giddier	giddy
giddiest	giddy
giftwrapped	giftwrap
giftwrapping	giftwrap
gigged	gig
gigging	gig
gilt	gild
gingivae	gingiva
gingkoes	gingko
ginglymi	ginglymus
ginkgoes	ginkgo
ginned	gin
ginning	gin
gipped	gip
gipping	gip
gippoes	gippo
girt	gird
given	give
glabellae	glabella
gladder	glad
gladdest	glad
gladioli	gladiolus
glandes	glans
glassier	glassy
glassiest	glassy
glibber	glib
glibbest	glib
gliomata	glioma
glissandi	glissando
globefishes	globefish
globigerinae	globigerina
glochidcia	glochidium
glochidia	glochidium
glomeruli	glomerulus
glommed	glom
glomming	glom
gloomier	gloomy
gloomiest	gloomy
gloried	glory
glorified	glorify
glossae	glossa
glossier	glossy
glossiest	glossy
glottides	glottis
glummer	glum
glummest	glum
glutaei	glutaeus
glutei	gluteus
glutted	glut
glutting	glut
gnawn	gnaw
gnoses	gnosis
goatfishes	goatfish
goboes	gobo
godchildren	godchild
godlier	godly
godliest	godly
goer	goer
goes	go
goes deep	go deep
going deep	go deep
goings-over	going-over
goldfishes	goldfish
gollied	golly
gomphoses	gomphosis
gone	go
gone deep	go deep
goner	goner
gonia	gonion
gonidia	gonidium
gonococci	gonococcus
goodlier	goodly
goodliest	goodly
goodwives	goodwife
goofier	goofy
goofiest	goofy
gooier	gooey
gooiest	gooey
goose-stepped	goose-step
goose-stepping	goose-step
goosefishes	goosefish
goosier	goosy
goosiest	goosy
gorgoneia	gorgoneion
gorier	gory
goriest	gory
gospopoda	gospodin
got	get
got lost	get lost
got started	get started
gotten	get
gotten lost	get lost
governors general	governor general
goyim	goy
gps	gps
grabbed	grab
grabbing	grab
gradelier	gradely
gradeliest	gradely
grader	grader
grafen	graf
graffiti	graffito
grainier	grainy
grainiest	grainy
grandchildren	grandchild
grants-in-aid	grant-in-aid
granulomata	granuloma
grassier	grassy
grassiest	grassy
gratified	gratify
gravamina	gravamen
gravelled	gravel
gravelling	gravel
graven	grave
greasier	greasy
greasiest	greasy
greedier	greedy
greediest	greedy
grew	grow
grig-gris	gris-gris
grimmer	grim
grimmest	grim
grinned	grin
grinning	grin
gripped	grip
gripping	grip
gript	grip
grislier	grisly
grisliest	grisly
gritted	grit
grittier	gritty
grittiest	gritty
gritting	grit
grizzlier	grizzly
grizzliest	grizzly
groggier	groggy
groggiest	groggy
groovier	groovy
grooviest	groovy
groszy	grosz
grottier	grotty
grottiest	grotty
grottoes	grotto
ground	grind
grounder	grounder
grouper	grouper
groutier	grouty
groutiest	grouty
grovelled	grovel
grovelling	grovel
grown	grow
grubbed	grub
grubbier	grubby
grubbiest	grubby
grubbing	grub
grumpier	grumpy
grumpiest	grumpy
guarantied	guaranty
guest	guest
guilder	guilde
guilders	guilde
guiltier	guilty
guiltiest	guilty
guitarfishes	guitarfish
gullied	gully
gummata	gumma
gummed	gum
gummier	gummy
gummiest	gummy
gumming	gum
gunned	gun
gunning	gun
gurnard	gurnar
gurnards	gurnar
gushier	gushy
gushiest	gushy
gustier	gusty
gustiest	gusty
gutsier	gutsy
gutsiest	gutsy
guttae	gutta
gymnasia	gymnasium
gynaecea	gynaeceum
gynaecia	gynaecium
gynecea	gynecium
gynecia	gynecium
gynoecea	gynoecium
gynoecia	gynoecium
gypped	gyp
gypping	gyp
gyri	gyrus
hacksawn	hacksaw
had	have
had a feeling	have a feeling
had left	have left
had the feeling	have the feeling
hadarim	heder
hadjes	hadj
haematolyses	haematolysis
haematomata	haematoma
haematozoa	haematozoon
haemodialyses	haemodialysis
haemolyses	haemolysis
haemoptyses	haemoptysis
haeredes	haeres
haftaroth	haftarah
hagfishes	hagfish
haggadas	haggada
haggadoth	haggada
hairier	hairy
hairiest	hairy
hajjes	hajj
haleru	haler
halfpence	halfpenny
halfways	halfway
hallot	hallah
halloth	hallah
halluces	hallux
haloes	halo
halter	halter
halteres	halter
halves	half
hammed	ham
hammier	hammy
hammiest	hammy
hamming	ham
hamstrung	hamstring
hamuli	hamulus
hand-knitted	hand-knit
hand-knitting	hand-knit
handfed	handfeed
handicapped	handicap
handicapping	handicap
handier	handy
handiest	handy
handselled	handsel
handselling	handsel
hangers-on	hanger-on
haphtaroth	haphtarah
happier	happy
happiest	happy
harder	hard
hardest	hard
hardier	hardy
hardiest	hardy
haredim	haredi
harried	harry
haruspices	haruspex
has	have
has a feeling	have a feeling
has left	have left
has the feeling	have the feeling
hasidim	hasid
hassidim	hassid
hastier	hasty
hastiest	hasty
hatchelled	hatchel
hatchelling	hatchel
hatted	hat
hatting	hat
haughtier	haughty
haughtiest	haughty
haustella	haustellum
haustoria	haustorium
having a feeling	have a feeling
having left	have left
having the feeling	have the feeling
hazier	hazy
haziest	hazy
hazzanim	hazzan
header	header
headier	heady
headiest	heady
healthier	healthy
healthiest	healthy
heard	hear
heartier	hearty
heartiest	hearty
heavier	heavy
heaviest	heavy
hectocotyli	hectocotylus
hedgehopped	hedgehop
hedgehopping	hedgehop
heftier	hefty
heftiest	hefty
heirs-at-law	heir-at-law
held	hold
heldentenore	heldentenor
helices	helix
heliozoa	heliozoan
hematolyses	hematolysis
hematomata	hematoma
hematozoa	hematozoon
hemelytra	hemelytron
hemielytra	hemielytron
hemmed	hem
hemming	hem
hemodialyses	hemodialysis
hemolyses	hemolysis
hemoptyses	hemoptysis
hendecahedra	hendecahedron
hens-and-chickens	hen-and-chickens
hepper	hep
heppest	hep
heraclidae	heraclid
heraklidae	heraklid
herbaria	herbarium
herbier	herby
herbiest	herby
hermae	herm
hermai	herma
herniae	hernia
heroes	hero
herren	herr
hetaerae	hetaera
hetairai	hetaira
hewn	hew
hibernacula	hibernaculum
hiccupped	hiccup
hiccupping	hiccup
hid	hide
hidden	hide
hieracosphinges	hieracosphinx
high-hatted	high-hat
high-hatting	high-hat
hila	hilum
hili	hilus
himatia	himation
hinder	hind
hinnied	hinny
hipper	hip
hippest	hip
hippier	hippy
hippiest	hippy
hippocampi	hippocampus
hippopotami	hippopotamus
his	his
hitting	hit
hoarier	hoary
hoariest	hoary
hobbed	hob
hobbing	hob
hobnobbed	hobnob
hobnobbing	hobnob
hoboes	hobo
hocus-pocussed	hocus-pocus
hocus-pocussing	hocus-pocus
hocussed	hocus
hocussing	hocus
hogfishes	hogfish
hogged	hog
hogging	hog
hogtying	hogtie
holier	holy
holiest	holy
homelier	homely
homeliest	homely
homer	homer
homier	homey
homiest	homey
homunculi	homunculus
honied	honey
honoraria	honorarium
hooves	hoof
hopped	hop
hopping	hop
hornier	horny
horniest	horny
horologia	horologium
horrified	horrify
horsewhipped	horsewhip
horsewhipping	horsewhip
horsier	horsy
horsiest	horsy
hotter	hot
hottest	hot
houselled	housel
houselling	housel
houses of cards	house of cards
housewives	housewife
hove	heave
hovelled	hovel
hovelling	hovel
hugged	hug
hugging	hug
humbugged	humbug
humbugging	humbug
humeri	humerus
humidified	humidify
hummed	hum
humming	hum
humpier	humpy
humpiest	humpy
hung	hang
hunger	hunger
hungrier	hungry
hungriest	hungry
hurried	hurry
huskier	husky
huskiest	husky
hydrae	hydra
hydromedusae	hydromedusa
hydrozoa	hydrozoan
hymenoptera	hymenopteran
hynia	hymenium
hyniums	hymenium
hypanthia	hypanthium
hyperostoses	hyperostosis
hypertrophied	hypertrophy
hyphae	hypha
hypnoses	hypnosis
hypochondria	hypochondrium
hypogastria	hypogastrium
hypogea	hypogeum
hypophyses	hypophysis
hypostases	hypostasis
hypothalami	hypothalamus
hypotheses	hypothesis
hyraces	hyrax
iambi	iamb
ibices	ibex
ibo	igbo
ichthyosauri	ichthyosaurus
ichthyosauruses	ichthyosaur
icier	icy
iciest	icy
iconostases	iconostas
icosahedra	icosahedron
ideata	ideatum
identified	identify
igorrorote	igorrote
ilia	ilium
imagines	imago
imagoes	imago
imbedded	imbed
imbedding	imbed
impanelled	impanel
impanelling	impanel
impelled	impel
impelling	impel
imperia	imperium
impies	impi
implied	imply
inbred	inbreed
incubi	incubus
incudes	incus
incurred	incur
incurring	incur
indemnified	indemnify
indices	index
indigoes	indigo
indumenta	indumentum
indusia	indusium
indwelt	indwell
inferred	infer
inferring	infer
infundibula	infundibulum
ingushes	ingush
initialled	initial
initialling	initial
inkier	inky
inkiest	inky
inlaid	inlay
innuendoes	innuendo
inocula	inoculum
inquisitors-general	inquisitor-general
insectaria	insectarium
insetting	inset
insider	insider
inspanned	inspan
inspanning	inspan
installed	instal
installing	instal
insulae	insula
intagli	intaglio
intensified	intensify
interbred	interbreed
intercropped	intercrop
intercropping	intercrop
intercutting	intercut
interest	interest
interlaid	interlay
interlapped	interlap
interlapping	interlap
interleaves	interleaf
intermarried	intermarry
intermezzi	intermezzo
intermitted	intermit
intermitting	intermit
interpled	interplead
interred	inter
interreges	interrex
interregna	interregnum
interring	inter
interstratified	interstratify
interwove	interweave
interwoven	interweave
intimae	intima
intromitted	intromit
intromitting	intromit
involucella	involucellum
involucra	involucre
inwove	inweave
inwoven	inweave
inwrapped	inwrap
inwrapping	inwrap
irides	iris
irs	irs
is	is
ischia	ischium
isthmi	isthmus
jabbed	jab
jabbing	jab
jackeroos	jackaroo
jackfishes	jackfish
jackknives	jackknife
jacks-in-the-box	jack-in-the-box
jagged	jag
jaggier	jaggy
jaggiest	jaggy
jagging	jag
jambeaux	jambeau
jammed	jam
jammier	jammy
jammiest	jammy
jamming	jam
japanned	japan
japanning	japan
jarred	jar
jarring	jar
jauntier	jaunty
jauntiest	jaunty
jazzier	jazzy
jazziest	jazzy
jellied	jelly
jellified	jellify
jellyfishes	jellyfish
jemmied	jemmy
jerkier	jerky
jerkiest	jerky
jerry-built	jerry-build
jetted	jet
jetting	jet
jewelfishes	jewelfish
jewelled	jewel
jewelling	jewel
jewfishes	jewfish
jibbed	jib
jibbing	jib
jigged	jig
jigging	jig
jimmied	jimmy
jingoes	jingo
jinn	jinni
jitterbugged	jitterbug
jitterbugging	jitterbug
jobbed	job
jobbing	job
joes	jo
jog-trotted	jog-trot
jog-trotting	jog-trot
jogged	jog
jogging	jog
joined battle	join battle
joined forces	join forces
joining battle	join battle
joining forces	join forces
joins battle	join battle
joins forces	join forces
jointer	jointer
jollied	jolly
jollier	jolly
jolliest	jolly
jollified	jollify
jotted	jot
jotting	jot
joy-ridden	joy-ride
joy-rode	joy-ride
joypopped	joypop
joypopping	joypop
judge advocates general	judge advocate general
jugged	jug
jugging	jug
juicier	juicy
juiciest	juicy
jumped off	jump off
jumpier	jumpy
jumpiest	jumpy
jumping off	jump off
jumps off	jump off
jura	jus
justified	justify
jutted	jut
jutting	jut
kaddishim	kaddish
kalmuck	kalmuc
kalmucks	kalmuc
katabases	katabasis
keeshonden	keeshond
kenned	ken
kennelled	kennel
kennelling	kennel
kenning	ken
kent	ken
kept	keep
kernelled	kernel
kernelling	kernel
kibbutzim	kibbutz
kidded	kid
kidding	kid
kidnapped	kidnap
kidnapping	kidnap
killifishes	killifish
kindlier	kindly
kindliest	kindly
kingfishes	kingfish
kings-of-arms	king-of-arms
kinkier	kinky
kinkiest	kinky
kipped	kip
kipping	kip
knapped	knap
knapping	knap
kneecapped	kneecap
kneecapping	kneecap
knelt	kneel
knew	know
knights bachelor	knight bachelor
knights bachelors	knight bachelor
knights templar	knight templar
knights templars	knight templar
knitted	knit
knitting	knit
knives	knife
knobbed	knob
knobbing	knob
knotted	knot
knottier	knotty
knottiest	knotty
knotting	knot
known	know
knurlier	knurly
knurliest	knurly
ko'd	ko
ko'ing	ko
ko's	ko
kohlrabies	kohlrabi
kookier	kooky
kookiest	kooky
kronen	krone
kroner	krone
kronur	krona
krooni	kroon
kylikes	kylix
labara	labarum
labella	labellum
labelled	label
labelling	label
labia	labium
labra	labrum
lacier	lacy
laciest	lacy
lactobacilli	lactobacillus
lacunae	lacuna
lacunaria	lacunar
laden	lade
ladies-in-waiting	lady-in-waiting
ladyfied	ladify
ladyfies	ladify
ladyfying	ladify
lagged	lag
lagging	lag
laid	lay
lain	lie
lairier	lairy
lairiest	lairy
lakier	laky
lakiest	laky
lallygagged	lallygag
lallygagging	lallygag
lamellae	lamella
lamiae	lamia
laminae	lamina
lammed	lam
lamming	lam
lander	lander
lankier	lanky
lankiest	lanky
lapidified	lapidify
lapilli	lapillus
lapithae	lapith
lapped	lap
lapping	lap
larvae	larva
larynges	larynx
lassoes	lasso
lathier	lathy
lathiest	lathy
lati	lat
latices	latex
latifundia	latifundium
latu	lat
laurelled	laurel
laurelling	laurel
lavaboes	lavabo
lay	lie
layed for	lie for
layer	layer
laying for	lie for
lays for	lie for
lazier	lazy
laziest	lazy
leafier	leafy
leafiest	leafy
leakier	leaky
leakiest	leaky
leant	lean
leapfrogged	leapfrog
leapfrogging	leapfrog
leapt	leap
learier	leary
leariest	leary
learnt	learn
leaves	leaf
leaves undone	leave undone
leaving undone	leave undone
lecythi	lecythus
led	lead
leer	leer
leerier	leery
leeriest	leery
left	leave
left undone	leave undone
left-hander	left-hander
left-winger	left-winger
leges	lex
leggier	leggy
leggiest	leggy
lei	leu
lemmata	lemma
lemnisci	lemniscus
lenes	lenis
lengthier	lengthy
lengthiest	lengthy
lent	lend
lentigines	lentigo
leonides	leonid
lepidoptera	lepidopteran
leprosaria	leprosarium
lepta	lepton
leptocephali	leptocephalus
ler	ler
letting	let
leucocytozoa	leucocytozoan
leva	lev
leveler	leveler
levelled	level
levelling	level
levied	levy
libelled	libel
libelling	libel
librae	libra
libretti	libretto
lice	louse
lieder	lied
lignified	lignify
ligulae	ligula
limbi	limbus
limier	limy
limiest	limy
limina	limen
limites	limes
limuli	limulus
lingoes	lingo
linguae	lingua
linguae francae	lingua franca
lionfishes	lionfish
lipomata	lipoma
lipped	lip
lippier	lippy
lippiest	lippy
lipping	lip
liquefied	liquefy
liquified	liquify
lire	lira
liriodendra	liriodendron
lisente	sente
listente	sente
lit	light
litai	lit
liter	liter
litu	litas
livelier	lively
liveliest	lively
liver	liver
lives	life
lixivia	lixivium
loather	loather
loaves	loaf
lobbed	lob
lobbied	lobby
lobbing	lob
loci	locus
loculi	loculus
loftier	lofty
loftiest	lofty
logged	log
loggie	loggia
logging	log
logia	logion
logier	logy
logiest	logy
lomenta	lomentum
lonelier	lonely
loneliest	lonely
loner	loner
longobardi	longobard
looked towards	look towards
looking towards	look towards
looks towards	look towards
loonier	loony
looniest	loony
loopier	loopy
loopiest	loopy
lopped	lop
lopping	lop
lordlier	lordly
lordliest	lordly
loricae	lorica
lost	lose
lotted	lot
lotting	lot
loups-garous	loup-garou
lousier	lousy
lousiest	lousy
lovelier	lovely
loveliest	lovely
lowlander	lowlander
lowlier	lowly
lowliest	lowly
luba	luba
lubritoria	lubritorium
luckier	lucky
luckiest	lucky
lugged	lug
lugging	lug
lullabied	lullaby
lumbi	lumbus
lumina	lumen
lumpfishes	lumpfish
lumpier	lumpy
lumpiest	lumpy
lungfishes	lungfish
lunier	luny
luniest	luny
lunulae	lunula
lures	lur
lustier	lusty
lustiest	lusty
lustra	lustre
lying	lie
lyings-in	lying-in
lymphangitides	lymphangitis
lymphomata	lymphoma
lymphopoieses	lymphopoiesis
lyses	lysis
lyttae	lytta
maare	maar
macaronies	macaroni
maccaronies	maccaroni
machine-gunned	machine-gun
machine-gunning	machine-gun
machzorim	machzor
macronuclei	macronucleus
macrosporangia	macrosporangium
maculae	macula
madded	mad
madder	mad
maddest	mad
madding	mad
made	make
madornos	madrono
maestri	maestro
mafiosi	mafioso
magi	magus
magmata	magma
magnificoes	magnifico
magnified	magnify
mahzorim	mahzor
mainer	mainer
major axes	major axis
major-axes	major axis
makuta	likuta
maligner	maligner
mallei	malleus
malleoli	malleolus
maloti	loti
maltier	malty
maltiest	malty
mamillae	mamilla
mammae	mamma
mammillae	mammilla
mandingoes	mandingo
mangier	mangy
mangiest	mangy
mangoes	mango
manifestoes	manifesto
mankier	manky
mankiest	manky
manlier	manly
manliest	manly
manned	man
manning	man
manteaux	manteau
mantes	mantis
manubria	manubrium
manumitted	manumit
manumitting	manumit
mapped	map
mapping	map
marcelled	marcel
marcelling	marcel
marchese	marchesa
marchesi	marchese
maremme	maremma
mariner	mariner
markkaa	markka
marred	mar
married	marry
marring	mar
marshalled	marshal
marshalling	marshal
marshier	marshy
marshiest	marshy
marsupia	marsupium
marvelled	marvel
marvelling	marvel
marvels-of-peru	marvel-of-peru
mass media	mass medium
masses	mass
massier	massy
massiest	massy
masters-at-arms	master-at-arms
matrices	matrix
matted	mat
matter	matter
matting	mat
matzoth	matzo
maungier	maungy
maungiest	maungy
mausolea	mausoleum
maxillae	maxilla
maxima	maximum
mazier	mazy
maziest	mazy
mealier	mealy
mealiest	mealy
meant	mean
measlier	measly
measliest	measly
meatier	meaty
meatiest	meaty
medalled	medal
medalling	medal
media	medium
mediae	media
mediastina	mediastinum
medullae	medulla
medullae oblongatae	medulla oblongata
medusae	medusa
meeter	meeter
megara	megaron
megasporangia	megasporangium
megilloth	megillah
meioses	meiosis
melanomata	melanoma
melismata	melisma
mementoes	memento
memoranda	memorandum
men	man
men of letters	man of letters
men-at-arms	man-at-arms
men-o'-war	man-of-war
men-of-war	man-of-war
menisci	meniscus
menservants	manservant
menstrua	menstruum
merrier	merry
merriest	merry
mesdames	madame
mesdemoiselles	mademoiselle
mesentera	mesenteron
mesothoraces	mesothorax
messeigneurs	monseigneur
messier	messy
messiest	messy
messieurs	monsieur
mestizoes	mestizo
met	meet
metacarpi	metacarpus
metalled	metal
metalling	metal
metamorphoses	metamorphosis
metanephroi	metanephros
metastases	metastasis
metatarsi	metatarsus
metatheses	metathesis
metathoraces	metathorax
metazoa	metazoan
metempsychoses	metempsychosis
metencephala	metencephalon
metrified	metrify
mezuzoth	mezuzah
miasmata	miasma
mice	mouse
microanalyses	microanalysis
micrococci	micrococcus
micronuclei	micronucleus
microsporangia	microsporangium
midrashim	midrash
midwives	midwife
miffier	miffy
miffiest	miffy
might	may
mightier	mighty
mightiest	mighty
milcher	milcher
milia	milium
milieux	milieu
militated against	militate against
militates against	militate against
militating against	militate against
milker	milker
milkfishes	milkfish
milkier	milky
milkiest	milky
millennia	millennium
mimicked	mimic
mimicking	mimic
minae	mina
mingier	mingy
mingiest	mingy
minified	minify
minima	minimum
ministeria	ministerium
minter	minter
minutiae	minutia
minyanim	minyan
mioses	miosis
miracidia	miracidium
miri	mir
mirkier	mirky
mirkiest	mirky
misapplied	misapply
misbecame	misbecome
miscarried	miscarry
misdealt	misdeal
miser	miser
misfitted	misfit
misfitting	misfit
misgave	misgive
misgiven	misgive
mishitting	mishit
mishnayoth	mishna
mislaid	mislay
misled	mislead
mispled	misplead
misspelt	misspell
misspent	misspend
mistaken	mistake
mistier	misty
mistiest	misty
mistook	mistake
misunderstood	misunderstand
mitochondria	mitochondrion
mitzvoth	mitzvah
mobbed	mob
mobbing	mob
mocker	mocker
modeler	modeler
modelled	model
modelling	model
modest	modest
modified	modify
modioli	modiolus
moduli	modulus
moldier	moldy
moldiest	moldy
mollified	mollify
molten	melt
momenta	momentum
moments of truth	moment of truth
momi	momus
monades	monad
monkfishes	monkfish
monochasia	monochasium
monopodia	monopodium
monoptera	monopteron
monopteroi	monopteros
monsignori	monsignor
