'hood	noun. (slang) a neighborhood
backstroke	noun. a swimming stroke that resembles the crawl except the swimmer lies on his or her back | verb. swim on one's back
backstroker	noun. someone who swims the backstroke
backswept	adjective. used of hair
backswimmer	noun. predaceous aquatic insect that swims on its back and may inflict painful bites
backsword	noun. a stick used instead of a sword for fencing | noun. a sword with only one cutting edge
backtalk	noun. an impudent or insolent rejoinder
backtrack	verb. retrace one's course
backup	noun. an accumulation caused by clogging or a stoppage | noun. someone who takes the place of another (as when things get dangerous or difficult) | noun. a musical part (vocal or instrumental) that supports or provides background for other musical parts
backup file	noun. (computer science) a computer file dedicated to storing and updating computer backups
backup man	noun. someone who takes the place of another (as when things get dangerous or difficult)
backup system	noun. a computer system for making backups
backward	adjective. directed or facing toward the back or rear | adjective. (used of temperament or behavior) marked by a retiring nature | adjective. retarded in intellectual development
backward and forward	adverb. moving from one place to another and back again
backwardness	noun. lack of normal development of intellectual capacities
backwards	adverb. at or to or toward the back or rear | adverb. in a manner or order or direction the reverse of normal
backwash	noun. the flow of air that is driven backwards by an aircraft propeller | noun. the consequences of an event (especially a catastrophic event) | noun. the wave that spreads behind a boat as it moves forward
backwater	noun. a body of water that was created by a flood or tide or by being held or forced back by a dam | noun. a place or condition in which no development or progress is occurring
backwoods	noun. a remote and undeveloped area
backwoodsman	noun. a man who lives on the frontier
backyard	noun. the grounds in back of a house
bacon	noun. back and sides of a hog salted and dried or smoked; usually sliced thin and fried | noun. English scientist and Franciscan monk who stressed the importance of experimentation; first showed that air is required for combustion and first used lenses to correct vision (1220-1292) | noun. English statesman and philosopher; precursor of British empiricism; advocated inductive reasoning (1561-1626)
bacon and eggs	noun. European forage plant having claw-shaped pods introduced in America | noun. eggs (fried or scrambled) served with bacon
bacon rind	noun. the rind of bacon
bacon strip	noun. a slice of bacon
bacon-lettuce-tomato sandwich	noun. sandwich filled with slices of bacon and tomato with lettuce
bacteremia	noun. transient presence of bacteria (or other microorganisms) in the blood
bacteremic	adjective. of or relating to or having bacteremia
bacteria	noun. (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants
bacteria bed	noun. layer of sand or gravel used to expose sewage effluent to air and the action of microorganisms
bacteria family	noun. a family of bacteria
bacteria genus	noun. a genus of bacteria
bacteria order	noun. an order of bacteria
bacteria species	noun. a species of bacteria
bacteriacide	noun. any chemical agent that destroys bacteria
bacteriaemia	noun. transient presence of bacteria (or other microorganisms) in the blood
bacterial	adjective. relating to or caused by bacteria
bacterial plaque	noun. a film of mucus and bacteria deposited on the teeth that encourages the development of dental caries
bacterial toxin	noun. any endotoxin or exotoxin formed in or elaborated by bacterial cells
bacterially	adverb. by bacteria
bactericidal	adjective. preventing infection by inhibiting the growth or action of microorganisms
bactericide	noun. any chemical agent that destroys bacteria | noun. any drug that destroys bacteria or inhibits their growth
bacteriemia	noun. transient presence of bacteria (or other microorganisms) in the blood
bacteriochlorophyll	noun. a substance in photosensitive bacteria that is related to but different from chlorophyll of higher plants
bacterioid	adjective. resembling bacteria
bacterioidal	adjective. resembling bacteria
bacteriologic	adjective. of or relating to bacteriology
bacteriological	adjective. of or relating to bacteriology
bacteriological warfare	noun. the use of harmful bacteria as a weapon
bacteriologist	noun. a biologist who studies bacteria
bacteriology	noun. the branch of medical science that studies bacteria in relation to disease
bacteriolysis	noun. dissolution or destruction of bacteria
bacteriolytic	adjective. of or relating to or causing bacteriolysis
bacteriophage	noun. a virus that is parasitic (reproduces itself) in bacteria
bacteriophagic	adjective. of or relating to bacteriophages
bacteriophagous	adjective. of or relating to bacteriophages
bacteriostasis	noun. inhibition of the growth of bacteria
bacteriostat	noun. a chemical or biological material that inhibits bacterial growth
bacteriostatic	adjective. of or relating to or causing bacteriostasis
bacterise	verb. subject to the action of bacteria
bacterium	noun. (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants
bacterize	verb. subject to the action of bacteria
bacteroid	noun. a rodlike bacterium (especially any of the rod-shaped or branched bacteria in the root nodules of nitrogen-fixing plants) | adjective. resembling bacteria
bacteroidaceae	noun. family of bacteria living usually in the alimentary canal or on mucous surfaces of warm-blooded animals; sometimes associated with acute infective processes
bacteroidal	adjective. resembling bacteria
bacteroides	noun. type genus of Bacteroidaceae; genus of Gram-negative rodlike anaerobic bacteria producing no endospores and no pigment and living in the gut of man and animals
bactrian camel	noun. two-humped camel of the cold deserts of central Asia
baculiform	adjective. formed like a bacillus
bad	noun. that which is below standard or expectations as of ethics or decency | adjective. having undesirable or negative qualities | adjective. very intense
bad block	noun. (computer science) a block (usually one sector) that cannot reliably hold data
bad blood	noun. a feeling of ill will arousing active hostility
bad check	noun. a check that is dishonored on presentation because of insufficient funds
bad cheque	noun. a check that is dishonored on presentation because of insufficient funds
bad debt	noun. a debt that is unlikely to be repaid
bad egg	noun. (old-fashioned slang) a bad person
bad fairy	noun. a fairy that tends to cause harm
bad guy	noun. any person who is not on your side
bad hat	noun. someone who deliberately stirs up trouble
bad lands	noun. an eroded and barren region in southwestern South Dakota and northwestern Nebraska
bad luck	noun. an unfortunate state resulting from unfavorable outcomes | noun. an unpredictable outcome that is unfortunate | noun. unnecessary and unforeseen trouble resulting from an unfortunate event
bad manners	noun. impoliteness resulting from ignorance
bad person	noun. a person who does harm to others
bad temper	noun. a persisting angry mood
bad weather	noun. weather unsuitable for outdoor activities
bad-mannered	adjective. socially incorrect in behavior
bad-tempered	adjective. annoyed and irritable
badaga	noun. a member of an agricultural people of southern India | noun. the dialect of Kannada that is spoken by the Badaga
baddeleyite	noun. a mineral consisting of zirconium oxide
baddie	noun. the principal bad character in a film or work of fiction
bade	noun. a Chadic language spoken in northern Nigeria
badge	noun. an emblem (a small piece of plastic or cloth or metal) that signifies your status (rank or membership or affiliation etc.) | noun. any feature that is regarded as a sign of status (a particular power or quality or rank) | verb. put a badge on
badger	noun. a native or resident of Wisconsin | noun. sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere | verb. annoy persistently
badger dog	noun. small long-bodied short-legged German breed of dog having a short sleek coat and long drooping ears; suited for following game into burrows
badger skunk	noun. large naked-muzzled skunk with white back and tail; of southwestern North America and Mexico
badger state	noun. a midwestern state in north central United States
badgerer	noun. someone who tries to embarrass you with gibes and questions and objections
badgering	noun. the act of harassing someone
badinage	noun. frivolous banter
badlands	noun. deeply eroded barren land | noun. an eroded and barren region in southwestern South Dakota and northwestern Nebraska
badlands national park	noun. a national park in South Dakota having multicolored peaks and spires resulting from erosion; fossil sites
badly	adverb. to a severe or serious degree | adverb. (`ill' is often used as a combining form) in a poor or improper or unsatisfactory manner; not well | adverb. evilly or wickedly
badminton	noun. a game played on a court with light long-handled rackets used to volley a shuttlecock over a net
badminton court	noun. the court on which badminton is played
badminton equipment	noun. equipment for playing the game of badminton
badminton racket	noun. a light long-handled racket used by badminton players
badminton racquet	noun. a light long-handled racket used by badminton players
badmouth	verb. speak unfavorably about
badness	noun. that which is below standard or expectations as of ethics or decency | noun. used of the degree of something undesirable e.g. pain or weather | noun. an attribute of mischievous children
baeda	noun. (Roman Catholic Church) English monk and scholar (672-735)
baedeker	noun. German publisher of a series of travel guidebooks (1801-1859) | noun. any of a series of travel guidebooks published by the German firm founded by Karl Baedeker
baffin bay	noun. a body of water between Greenland and northeastern Canada; connected with the Arctic Ocean to the north and with the Atlantic Ocean (via the Labrador Sea) to the south; icebound in winter
baffin island	noun. the 5th largest island and the largest island of Arctic Canada; lies between Greenland and Hudson Bay
baffle	noun. a flat plate that controls or directs the flow of fluid or energy | verb. be a mystery or bewildering to | verb. hinder or prevent (the efforts, plans, or desires) of
baffle board	noun. a flat plate that controls or directs the flow of fluid or energy
baffled	noun. people who are frustrated and perplexed | adjective. perplexed by many conflicting situations or statements; filled with bewilderment
bafflement	noun. confusion resulting from failure to understand
baffling	adjective. making great mental demands; hard to comprehend or solve or believe
bag	noun. a flexible container with a single opening | noun. the quantity of game taken in a particular period (usually by one person) | noun. a place that the runner must touch before scoring
bag lady	noun. a homeless woman who carries all her possessions with her in shopping bags
bag of tricks	noun. a supply of ways of accomplishing something
bag-shaped	adjective. shaped like a bag
bagascosis	noun. alveolitis caused by inhaling bagasse (sugarcane dust)
bagasse	noun. the dry dusty pulp that remains after juice is extracted from sugar cane or similar plants
bagassosis	noun. alveolitis caused by inhaling bagasse (sugarcane dust)
bagatelle	noun. a light piece of music for piano | noun. something of little value or significance | noun. a table game in which short cues are used to knock balls into holes that are guarded by wooden pegs; penalties are incurred if the pegs are knocked over
bagdad	noun. capital and largest city of Iraq; located on the Tigris River
bagel	noun. (Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust
bagful	noun. the quantity that a bag will hold
baggage	noun. cases used to carry belongings when traveling | noun. a worthless or immoral woman | noun. the portable equipment and supplies of an army
baggage car	noun. a railway car where passengers' bags are carried
baggage claim	noun. an area in an airport where arriving passengers can collect the luggage that has been carried in the hold of the aircraft
baggageman	noun. an attendant who takes care of baggage
bagger	noun. a workman employed to pack things into containers | noun. a machine for putting objects or substances into bags
bagging	noun. coarse fabric used for bags or sacks
baggy	adjective. not fitting closely; hanging loosely
baghdad	noun. capital and largest city of Iraq; located on the Tigris River
bagman	noun. a salesman who travels to call on customers | noun. a racketeer assigned to collect or distribute payoff money
bagnio	noun. a building where prostitutes are available | noun. a building containing public baths
bagpipe	noun. a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone
bagpiper	noun. someone who plays the bagpipe
baguet	noun. narrow French stick loaf
baguette	noun. narrow French stick loaf
bahai	noun. a teacher of or believer in Bahaism | adjective. of or relating to Bahaism
bahaism	noun. a religion founded in Iran in 1863; emphasizes the spiritual unity of all humankind; incorporates Christian and Islamic tenets; many adherents live in the United States
bahama grass	noun. trailing grass native to Europe now cosmopolitan in warm regions; used for lawns and pastures especially in southern United States and India
bahama islands	noun. island country in the Atlantic to the east of Florida and Cuba; a popular winter resort
bahamas	noun. island country in the Atlantic to the east of Florida and Cuba; a popular winter resort
bahamian	noun. a native or inhabitant of the Bahamas | adjective. of or relating to or characteristic of the Bahama Islands or their inhabitants
bahamian dollar	noun. the basic unit of money in the Bahamas
bahasa	noun. the dialect of Malay used as the national language of the Republic of Indonesia or of Malaysia
bahasa indonesia	noun. the dialect of Malay used as the national language of the Republic of Indonesia or of Malaysia
bahasa kebangsaan	noun. the Malay language spoken in Malaysia
bahasa malaysia	noun. the Malay language spoken in Malaysia
bahasa melayu	noun. the Malay language spoken in Malaysia
bahia blanca	noun. a port city in eastern Argentina to the southwest of Buenos Aires on an inlet of the Atlantic Ocean
bahia coquilla	noun. Brazilian palm yielding fibers used in making ropes, mats, and brushes
bahia grass	noun. perennial tropical American grass used as pasture grass in arid areas of the Gulf States
bahia piassava	noun. Brazilian palm yielding fibers used in making ropes, mats, and brushes
bahrain	noun. an island in the Persian Gulf | noun. an island country in the Persian Gulf off the coast of Saudi Arabia; oil revenues funded progressive programs until reserves were exhausted in 1970s
bahrain dinar	noun. the basic unit of money in Bahrain; equal to 1,000 fils
bahrain island	noun. an island in the Persian Gulf
bahraini	noun. a native or inhabitant of Bahrain | adjective. of or relating to or characteristic of Bahrain or its people or language
bahrainian monetary unit	noun. monetary unit in Bahrain
bahrein	noun. an island in the Persian Gulf | noun. an island country in the Persian Gulf off the coast of Saudi Arabia; oil revenues funded progressive programs until reserves were exhausted in 1970s
bahrein island	noun. an island in the Persian Gulf
bahreini	noun. a native or inhabitant of Bahrain
baht	noun. the basic unit of money in Thailand
bai	noun. the Tibeto-Burman language spoken in the Dali region of Yunnan
baic	noun. the Tibeto-Burman language spoken in the Dali region of Yunnan
baikal	noun. the largest freshwater lake in Asia or Europe and the deepest lake in the world
bail	noun. (criminal law) money that must be forfeited by the bondsman if an accused person fails to appear in court for trial | noun. the legal system that allows an accused person to be temporarily released from custody (usually on condition that a sum of money guarantees their appearance at trial) | verb. release after a security has been paid
bail bond	noun. (criminal law) money that must be forfeited by the bondsman if an accused person fails to appear in court for trial
bail out	verb. free on bail | verb. remove (water) from a boat by dipping and throwing over the side
bailable	adjective. admitting of bail | adjective. eligible for bail
bailee	noun. the agent to whom property involved in a bailment is delivered
bailey	noun. United States singer (1918-1990) | noun. English lexicographer who was the first to treat etymology consistently; his work was used as a reference by Samuel Johnson (died in 1742) | noun. the outer courtyard of a castle
bailey bridge	noun. a temporary bridge designed for rapid construction
bailiff	noun. an officer of the court who is employed to execute writs and processes and make arrests etc.
bailiffship	noun. the office of bailiff
bailiwick	noun. the area over which a bailiff has jurisdiction | noun. a branch of knowledge
bailment	noun. the delivery of personal property in trust by the bailor to the bailee
bailor	noun. the person who delivers personal property (goods or money) in trust to the bailee in a bailment
bain-marie	noun. a large pan that is filled with hot water; smaller pans containing food can be set in the larger pan to keep food warm or to cook food slowly
baiomys	noun. pygmy mice
baiomys taylori	noun. very small dark greyish brown mouse resembling a house mouse; of Texas and Mexico
bairava	noun. epithet of Siva
bairdiella	noun. drumfish
bairdiella chrysoura	noun. small silvery drumfish often mistaken for white perch; found along coasts of United States from New York to Mexico
bairiki	noun. national capital of Kiribati
bairn	noun. a child: son or daughter
baisa	noun. 1,000 baiza equal 1 riyal-omani in Oman
baisakh	noun. the second month of the Hindu calendar
bait	noun. anything that serves as an enticement | noun. something used to lure fish or other animals into danger so they can be trapped or killed | verb. harass with persistent criticism or carping
bait and switch	noun. a deceptive way of selling that involves advertising a product at a very low price in order to attract customers who are then persuaded to switch to a more expensive product
bait casting	noun. the single-handed rod casting of a relatively heavy (artificial) bait
baiting	noun. harassment especially of a tethered animal
baiza	noun. 1,000 baiza equal 1 riyal-omani in Oman
baize	noun. a bright green fabric napped to resemble felt; used to cover gaming tables
baja california	noun. a mountainous peninsula on northwest Mexico
bake	verb. cook and make edible by putting in a hot oven | verb. prepare with dry heat in an oven | verb. heat by a natural force
bakeapple	noun. creeping raspberry of north temperate regions with yellow or orange berries
baked	adjective. dried out by heat or excessive exposure to sunlight | adjective. (bread and pastries) cooked by dry heat (as in an oven)
baked alaska	noun. cake covered with ice cream and meringue browned quickly in an oven
baked egg	noun. egg cooked individually in cream or butter in a small ramekin
baked goods	noun. foods (like breads and cakes and pastries) that are cooked in an oven
baked potato	noun. potato that has been cooked by baking it in an oven
baked-apple berry	noun. creeping raspberry of north temperate regions with yellow or orange berries
bakehouse	noun. a workplace where baked goods (breads and cakes and pastries) are produced or sold
bakelite	noun. a thermosetting plastic used as electric insulators and for making plastic ware and telephone receivers etc.
baker	noun. someone who bakes commercially | noun. someone who bakes bread or cake
baker's dozen	noun. the cardinal number that is the sum of twelve and one
baker's eczema	noun. allergic eczema caused by flour or other ingredients handled by bakers
baker's yeast	noun. used as a leaven in baking and brewing
bakersfield	noun. a city in south central California at the southern end of the San Joaquin Valley
bakery	noun. a workplace where baked goods (breads and cakes and pastries) are produced or sold
bakeshop	noun. a workplace where baked goods (breads and cakes and pastries) are produced or sold
baking	noun. making bread or cake or pastry etc. | noun. cooking by dry heat in an oven | adjective. as hot as if in an oven
baking chocolate	noun. pure unsweetened chocolate used in baking and icings and sauces and candy
baking hot	adjective. as hot as if in an oven
baking powder	noun. any of various powdered mixtures used in baking as a substitute for yeast
baking soda	noun. a white soluble compound (NaHCO3) used in effervescent drinks and in baking powders and as an antacid
baking tray	noun. a cooking utensil consisting of a flat rectangular metal sheet used for baking cookies or biscuits
baking-powder biscuit	noun. leavened with baking powder
bakke decision	noun. a ruling by the Supreme Court on affirmative action; the Court ruled in 1978 that medical schools are entitled to consider race as a factor in their admission policy
baklava	noun. rich Middle Eastern cake made of thin layers of flaky pastry filled with nuts and honey
baksheesh	noun. a relatively small amount of money given for services rendered (as by a waiter)
bakshis	noun. a relatively small amount of money given for services rendered (as by a waiter)
bakshish	noun. a relatively small amount of money given for services rendered (as by a waiter)
baku	noun. a port city on the Caspian Sea that is the capital of Azerbaijan and an important center for oil production
bakunin	noun. Russian anarchist; ally and later opponent of Karl Marx (1814-1876)
balaclava	noun. a cap that is close-fitting and woolen and covers all of the head but the face
balaclava helmet	noun. a cap that is close-fitting and woolen and covers all of the head but the face
balaena	noun. type genus of the Balaenidae: Greenland whales
balaena mysticetus	noun. large-mouthed Arctic whale
balaeniceps	noun. type genus of the Balaenicipitidae: shoebills
balaeniceps rex	noun. large stork-like bird of the valley of the White Nile with a broad bill suggesting a wooden shoe
balaenicipitidae	noun. shoebills
balaenidae	noun. right whales
balaenoptera	noun. type genus of the Balaenopteridae
balaenoptera acutorostrata	noun. small finback of coastal waters of Atlantic and Pacific
balaenoptera borealis	noun. similar to but smaller than the finback whale
balaenoptera musculus	noun. largest mammal ever known; bluish-grey migratory whalebone whale mostly of southern hemisphere
balaenoptera physalus	noun. large flat-headed whalebone whale having deep furrows along the throat; of Atlantic and Pacific
balaenopteridae	noun. rorquals; blue whales
balagan	noun. a word for chaos or fiasco borrowed from modern Hebrew (where it is a loan word from Russian)
balalaika	noun. a stringed instrument that has a triangular body and three strings
balance	noun. a state of equilibrium | noun. equality between the totals of the credit and debit sides of an account | noun. harmonious arrangement or relation of parts or elements within a whole (as in a design)
balance beam	noun. a gymnastic apparatus used by women gymnasts
balance of international payments	noun. a system of recording all of a country's economic transactions with the rest of the world over a period of one year
balance of payments	noun. a system of recording all of a country's economic transactions with the rest of the world over a period of one year
balance of power	noun. an equilibrium of power between nations
balance of trade	noun. the difference in value over a period of time of a country's imports and exports of merchandise
balance sheet	noun. a record of the financial situation of an institution on a particular date by listing its assets and the claims against those assets
balance wheel	noun. a wheel that regulates the rate of movement in a machine; especially a wheel oscillating against the hairspring of a timepiece to regulate its beat
balance-of-payments problem	noun. an economic problem caused by payments for imports being greater than receipts for exports
balanced	adjective. being in a state of proper equilibrium
balanced budget	noun. a budget is balanced when current expenditures are equal to receipts
balanced diet	noun. a diet that contains adequate amounts of all the necessary nutrients required for healthy growth and activity
balancer	noun. an acrobat who balances himself in difficult positions | noun. either of the rudimentary hind wings of dipterous insects; used for maintaining equilibrium during flight
balanchine	noun. United States dancer and choreographer (born in Russia) noted for his abstract and formal works (1904-1983)
balancing	noun. getting two things to correspond
balanidae	noun. stalkless barnacles
balanitis	noun. inflammation of the head of the penis
balanoposthitis	noun. inflammation of both the head of the penis and the foreskin
balanus	noun. type genus of the family Balanidae
balanus balanoides	noun. barnacle that attaches to rocks especially in intertidal zones
balarama	noun. elder brother of Krishna; an incarnation of Vishnu
balas	noun. a pale rose-colored variety of the ruby spinel
balas ruby	noun. a pale rose-colored variety of the ruby spinel
balata	noun. when dried yields a hard substance used e.g. in golf balls | noun. a tropical hardwood tree yielding balata gum and heavy red timber
balata tree	noun. a tropical hardwood tree yielding balata gum and heavy red timber
balaton	noun. a large shallow lake in western Hungary
balboa	noun. the basic unit of money in Panama; equal to 100 centesimos | noun. Spanish explorer who in 1513 crossed the Isthmus of Darien and became the first European to see the eastern shores of the Pacific Ocean (1475-1519)
balbriggan	noun. a cotton knit fabric used for underwear
balconied	adjective. having balconies or a balcony
balcony	noun. an upper floor projecting from the rear over the main floor in an auditorium | noun. a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet
bald	verb. grow bald; lose hair on one's head | adjective. with no effort to conceal | adjective. lacking hair on all or most of the scalp
bald cypress	noun. smaller than and often included in the closely related Taxodium distichum | noun. common cypress of southeastern United States having trunk expanded at base; found in coastal swamps and flooding river bottoms
bald eagle	noun. a large eagle of North America that has a white head and dark wings and body
bald-faced	adjective. (of animals) having white markings on the face | adjective. unrestrained by convention or propriety
bald-faced hornet	noun. North American hornet
bald-headed	adjective. lacking hair on all or most of the scalp
bald-pated	adjective. lacking hair on all or most of the scalp
baldachin	noun. ornamented canopy supported by columns or suspended from a roof or projected from a wall (as over an altar)
balder	noun. (Norse mythology) god of light and peace and noted for his beauty and sweet nature; son of Odin and Frigg and husband of Nanna; killed by Hoth
balderdash	noun. trivial nonsense
baldhead	noun. a person whose head is bald or shaved
balding	adjective. getting bald
baldly	adverb. in a bald manner
baldness	noun. the condition of having no hair on the top of the head
baldpate	noun. a person whose head is bald or shaved | noun. a widgeon the male of which has a white crown
baldr	noun. (Norse mythology) god of light and peace and noted for his beauty and sweet nature; son of Odin and Frigg and husband of Nanna; killed by Hoth
baldric	noun. a wide (ornamented) belt worn over the right shoulder to support a sword or bugle by the left hip
baldrick	noun. a wide (ornamented) belt worn over the right shoulder to support a sword or bugle by the left hip
baldwin	noun. United States author who was an outspoken critic of racism (1924-1987) | noun. English statesman; member of the Conservative Party (1867-1947) | noun. an American eating apple with red or yellow and red skin
baldy	noun. a person whose head is bald or shaved
bale	noun. a large bundle bound for storage or transport | noun. a city in northwestern Switzerland | verb. make into a bale
bale out	verb. remove (water) from a boat by dipping and throwing over the side
balearic islands	noun. an archipelago in the western Mediterranean off the eastern coast of Spain
baleen	noun. a horny material from the upper jaws of certain whales; used as the ribs of fans or as stays in corsets
baleen whale	noun. whale with plates of whalebone along the upper jaw for filtering plankton from the water
balefire	noun. a large outdoor fire that is lighted as a signal or in celebration
baleful	adjective. deadly or sinister | adjective. threatening or foreshadowing evil or tragic developments
balefully	adverb. in a baleful manner
balefulness	noun. the quality or nature of being harmful or evil
balenciaga	noun. Spanish fashion designer known for his stark elegant designs (1895-1972)
balfour	noun. English statesman; member of the Conservative Party (1848-1930)
bali	noun. an island in Indonesia to the east of Java; striking volcanic scenery; culture is known for elaborate dances and rituals and for handicrafts
balibago	noun. shrubby tree widely distributed along tropical shores; yields a light tough wood used for canoe outriggers and a fiber used for cordage and caulk; often cultivated for ornament
balinese	noun. the Indonesian language of the people of Bali
baling wire	noun. wire used to make bales
balistes	noun. type genus of the Balistidae
balistes vetula	noun. tropical Atlantic fish
balistidae	noun. triggerfishes
balk	noun. the area on a billiard table behind the balkline | noun. something immaterial that interferes with or delays action or progress | noun. one of several parallel sloping beams that support a roof
balkan	noun. an inhabitant of the Balkan Peninsula
balkan country	noun. any one of the countries on the Balkan Peninsula
balkan mountain range	noun. the major mountain range of Bulgaria and the Balkan Peninsula
balkan mountains	noun. the major mountain range of Bulgaria and the Balkan Peninsula
balkan nation	noun. any one of the countries on the Balkan Peninsula
balkan peninsula	noun. a large peninsula in southeastern Europe containing the Balkan Mountain Range
balkan state	noun. any one of the countries on the Balkan Peninsula
balkan wars	noun. two wars (1912-1913) that were fought over the last of the European territories of the Ottoman Empire and that left the area around Constantinople (now Istanbul) as the only Ottoman territory in Europe
balkanise	verb. divide a territory into small, hostile states
balkanize	verb. divide a territory into small, hostile states
balkans	noun. the major mountain range of Bulgaria and the Balkan Peninsula | noun. a large peninsula in southeastern Europe containing the Balkan Mountain Range | noun. the Balkan countries collectively
balker	noun. a person who refuses to comply
balkiness	noun. likely to stop abruptly and unexpectedly
balking	adjective. stopping short and refusing to go on
balkline	noun. line across a billiard table behind which the cue balls are placed at the start of a game
balky	adjective. stopping short and refusing to go on
ball	noun. round object that is hit or thrown or kicked in games | noun. a solid projectile that is shot by a musket | noun. an object with a spherical shape
ball and chain	noun. heavy iron ball attached to a prisoner by a chain
ball bearing	noun. bearings containing small metal balls
ball boy	noun. a boy who retrieves balls for tennis players
ball carrier	noun. (football) the player who is carrying (and trying to advance) the ball on an offensive play
ball cartridge	noun. a general purpose cartridge having a primer and a ball and a full charge of powder
ball club	noun. a team of professional baseball players who play and travel together
ball cock	noun. floating ball that controls level in a water tank
ball fern	noun. feathery fern of tropical Asia and Malaysia
ball field	noun. the baseball playing field
ball game	noun. a field game played with a ball (especially baseball)
ball gown	noun. the most formal gown; worn to a ball
ball hawk	noun. a team athlete who is skilled at stealing or catching the ball
ball hawking	noun. a skillful maneuver in catching balls or in stealing the ball from the opposing team
ball nettle	noun. coarse prickly weed having pale yellow flowers and yellow berrylike fruit; common throughout southern and eastern United States
ball nightshade	noun. coarse prickly weed having pale yellow flowers and yellow berrylike fruit; common throughout southern and eastern United States
ball of fire	noun. a highly energetic and indefatigable person | noun. someone whose career progresses rapidly
ball over	verb. surprise greatly; knock someone's socks off
ball up	verb. make a mess of, destroy or ruin
ball valve	noun. any valve that checks flow by the seating of a ball
ball-and-socket joint	noun. a freely moving joint in which a sphere on the head of one bone fits into a rounded cavity in the other bone | noun. a joint that can rotate within a socket
ball-breaker	noun. a demanding woman who destroys men's confidence | noun. a job or situation that is demanding and arduous and punishing
ball-buster	noun. a demanding woman who destroys men's confidence | noun. a job or situation that is demanding and arduous and punishing
ball-hawking	adjective. used of a player skilled in stealing the ball or robbing a batter of a hit
ball-peen hammer	noun. a hammer with one round and one flat end; used in working metal
ball-shaped	adjective. having the shape of a sphere or ball
ballad	noun. a narrative song with a recurrent refrain | noun. a narrative poem of popular origin
ballad maker	noun. a composer of words or music for popular songs
ballade	noun. a poem consisting of 3 stanzas and an envoy
balladeer	noun. a singer of popular ballads
ballast	noun. any heavy material used to stabilize a ship or airship | noun. coarse gravel laid to form a bed for streets and railroads | noun. an attribute that tends to give stability in character and morals; something that steadies the mind or feelings
ballast resistor	noun. a resistor inserted into a circuit to compensate for changes (as those arising from temperature fluctuations)
ballcock	noun. floating ball that controls level in a water tank
balldress	noun. a suit or dress for formal occasions
ballerina	noun. a female ballet dancer
ballet	noun. a theatrical representation of a story that is performed to music by trained dancers | noun. music written for a ballet
ballet company	noun. a company that produces ballets
ballet dancer	noun. a trained dancer who is a member of a ballet company
ballet master	noun. a man who directs and teaches and rehearses dancers for a ballet company
ballet mistress	noun. a woman who directs and teaches and rehearses dancers for a ballet company
ballet position	noun. classical position of the body and especially the feet in ballet
ballet skirt	noun. very short skirt worn by ballerinas
balletic	adjective. characteristic of or resembling or suitable for ballet
balletomane	noun. a ballet enthusiast
balletomania	noun. extraordinary enthusiasm for ballets
ballgame	noun. a particular situation that is radically different from the preceding situation | noun. a field game played with a ball (especially baseball)
ballista	noun. an engine that provided medieval artillery used during sieges; a heavy war engine for hurling large stones and other missiles
ballistic	adjective. relating to or characteristic of the motion of objects moving under their own momentum and the force of gravity
ballistic capsule	noun. a craft capable of traveling in outer space; technically, a satellite around the sun
ballistic fingerprinting	noun. identification of the gun that fired a bullet from an analysis of the unique marks that every gun makes on the bullet it fires and on the shell ejected from it
ballistic galvanometer	noun. a moving-coil galvanometer that measures electric charge
ballistic identification	noun. identification of the gun that fired a bullet from an analysis of the unique marks that every gun makes on the bullet it fires and on the shell ejected from it
ballistic missile	noun. a missile that is guided in the first part of its flight but falls freely as it approaches target
ballistic missile defense organization	noun. an agency in the Department of Defense that is responsible for making ballistic missile defense a reality
ballistic pendulum	noun. a physical pendulum consisting of a large mass suspended from a rod; when it is struck by a projectile its displacement is used to measure the projectile's velocity
ballistic trajectory	noun. the trajectory of an object in free flight
ballistics	noun. the trajectory of an object in free flight | noun. the science of flight dynamics
ballistite	noun. an explosive (trade name Ballistite) that burns with relatively little smoke; contains pyrocellulose and is used as a propellant
ballistocardiogram	noun. a graphical recording made by a ballistocardiograph
ballistocardiograph	noun. a medical instrument that measures the mechanical force of cardiac contractions and the amount of blood passing through the heart during a specified period by measuring the recoil of the body as blood is pumped from the ventricles
ballock	noun. one of the two male reproductive glands that produce spermatozoa and secrete androgens
balloon	noun. large tough nonrigid bag filled with gas or heated air | noun. small thin inflatable rubber bag with narrow neck | verb. ride in a hot-air balloon
balloon bomb	noun. a bomb carried by a balloon
balloon flower	noun. fragrant puffed-up white to reddish-pink flowers in long narrow clusters on erect stems; Arizona to New Mexico and Utah
balloon sail	noun. any light loose sail
balloon seat	noun. a seat that has a bell shape (on some 18th century chairs)
balloon vine	noun. woody perennial climbing plant with large ornamental seed pods that resemble balloons; tropical India and Africa and America
